"id" "mslevel" "minMZsw" "maxMZsw" "minMZ" "maxMZ" "minRT" "maxRT"
"1" 1 1 0 0 359.982086181641 1460.00695800781 0.099 8097.89
"2" 2 2 400 425 200 2000.0087890625 0.226 8098.02
"3" 3 2 424 450 200 2000.0087890625 0.328 8098.12
"4" 4 2 449 475 200 2000.0087890625 0.43 8098.22
"5" 5 2 474 500 200 2000.01501464844 0.532 8098.32
"6" 6 2 499 525 200 1999.99609375 0.634 8098.43
"7" 7 2 524 550 200 2000.00244140625 0.736 8098.53
"8" 8 2 549 575 200 2000.0087890625 0.838 8098.63
"9" 9 2 574 600 200 2000.0087890625 0.94 8098.73
"10" 10 2 599 625 200 2000.0087890625 1.042 8098.83
"11" 11 2 624 650 200 2000.01501464844 1.143 8098.94
"12" 12 2 649 675 200 1999.99609375 1.245 8099.04
"13" 13 2 674 700 200 2000.0087890625 1.347 8099.14
"14" 14 2 699 725 200 2000.0087890625 1.449 8099.24
"15" 15 2 724 750 200 2000.00244140625 1.551 8099.34
"16" 16 2 749 775 200 2000.01501464844 1.653 8099.45
"17" 17 2 774 800 200 2000.0087890625 1.755 8099.55
"18" 18 2 799 825 200 2000.00244140625 1.857 8099.65
"19" 19 2 824 850 200 2000.0087890625 1.958 8099.75
"20" 20 2 849 875 200 2000.0087890625 2.06 8099.85
"21" 21 2 874 900 200 2000.0087890625 2.162 8099.96
"22" 22 2 899 925 200 2000.01501464844 2.264 8100.06
"23" 23 2 924 950 200 2000.01501464844 2.366 8100.16
"24" 24 2 949 975 200 2000.0087890625 2.468 8100.26
"25" 25 2 974 1000 200 2000.0087890625 2.57 8100.36
"26" 26 2 999 1025 200 2000.01501464844 2.672 8100.46
"27" 27 2 1024 1050 200 2000.01501464844 2.773 8100.57
"28" 28 2 1049 1075 200 2000.0087890625 2.875 8100.67
"29" 29 2 1074 1100 200 2000.0087890625 2.977 8100.77
"30" 30 2 1099 1125 200 2000.01501464844 3.079 8100.87
"31" 31 2 1124 1150 200 2000.01501464844 3.181 8100.98
"32" 32 2 1149 1175 200 2000.01501464844 3.283 8101.08
"33" 33 2 1174 1200 200 2000.0087890625 3.385 8101.18
