"id" "mslevel" "minMZsw" "maxMZsw" "minMZ" "maxMZ" "minRT" "maxRT"
"2" 2 2 385 410 200 1999.99182128906 0.226 8096.68
"3" 3 2 409 435 200 2000.0078125 0.328 8096.79
"4" 4 2 434 460 200 2000.00378417969 0.429 8096.89
"5" 5 2 459 485 200 2000.01086425781 0.531 8096.99
"6" 6 2 484 510 200 2000.01245117188 0.633 8097.09
"7" 7 2 509 535 200 2000.01916503906 0.735 8097.19
"8" 8 2 534 560 200 2000.00476074219 0.837 8097.29
"9" 9 2 559 585 200 1999.96887207031 0.94 8097.4
"10" 10 2 584 610 200 1999.99267578125 1.041 8097.5
"11" 11 2 609 635 200 2000.00317382812 1.143 8097.6
"12" 12 2 634 660 200 1999.99450683594 1.245 8097.7
"13" 13 2 659 685 200 1999.99389648438 1.347 8097.8
"14" 14 2 684 710 200 1999.98278808594 1.449 8097.91
"15" 15 2 709 735 200 2000.00708007812 1.551 8098.01
"16" 16 2 734 760 200 1999.96459960938 1.653 8098.11
"17" 17 2 759 785 200 2000.00952148438 1.755 8098.21
"18" 18 2 784 810 200 2000.00427246094 1.856 8098.31
"19" 19 2 809 835 200 1999.95434570312 1.958 8098.41
"20" 20 2 834 860 200 1999.92810058594 2.06 8098.52
"21" 21 2 859 885 200 1999.9794921875 2.162 8098.62
"22" 22 2 884 910 200 2000.01672363281 2.264 8098.72
"23" 23 2 909 935 200 1999.96630859375 2.366 8098.82
"24" 24 2 934 960 200 2000.01110839844 2.468 8098.92
"25" 25 2 959 985 200 2000.01037597656 2.57 8099.03
"26" 26 2 984 1010 200 2000.00048828125 2.672 8099.13
"27" 27 2 1009 1035 200 1999.96215820312 2.773 8099.23
"28" 28 2 1034 1060 200 1999.99328613281 2.875 8099.33
"29" 29 2 1059 1085 200 1999.94372558594 2.977 8099.43
"30" 30 2 1084 1110 200 1999.99645996094 3.079 8099.54
"31" 31 2 1109 1135 200 1999.947265625 3.181 8099.64
"32" 32 2 1134 1160 200 1999.99291992188 3.283 8099.74
"33" 33 2 1159 1185 200 2000.00634765625 3.385 8099.84
